region,site,date,detection_type,species_capture,bd_swab_id,crispr_id
pennsylvania,tuttle_pond,2022-07-19,capture,rana_catesbeiana,dryswab00136,crswab00125
pennsylvania,tuttle_pond,2022-07-19,capture,rana_catesbeiana,dryswab00141,crswab00129
pennsylvania,tuttle_pond,2022-07-19,capture,rana_catesbeiana,dryswab00152,crswab00140
pennsylvania,tuttle_pond,2022-07-19,capture,rana_catesbeiana,dryswab00147,crswab00135
pennsylvania,tuttle_pond,2022-07-19,capture,rana_catesbeiana,dryswab00143,crswab00131
pennsylvania,tuttle_pond,2022-07-19,capture,rana_catesbeiana,dryswab00148,crswab00136
pennsylvania,tuttle_pond,2022-07-19,capture,rana_catesbeiana,dryswab00144,crswab00132
pennsylvania,tuttle_pond,2022-07-19,capture,rana_catesbeiana,dryswab00149,crswab00137
pennsylvania,tuttle_pond,2022-07-19,capture,rana_catesbeiana,dryswab00135,crswab00124
pennsylvania,tuttle_pond,2022-07-19,capture,rana_catesbeiana,dryswab00146,crswab00134
pennsylvania,tuttle_pond,2022-07-19,capture,rana_catesbeiana,dryswab00137,crswab00126
pennsylvania,tuttle_pond,2022-07-19,capture,rana_catesbeiana,dryswab00139,crswab00128
pennsylvania,tuttle_pond,2022-07-18,capture,rana_pipiens,dryswab00094,crswab00083
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00099,crswab00088
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00109,crswab00098
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00090,crswab00080
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00130,crswab00119
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00126,crswab00115
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00100,crswab00089
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00115,crswab00104
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00119,crswab00108
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00120,crswab00109
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00113,crswab00102
pennsylvania,tuttle_pond,2022-07-19,capture,rana_catesbeiana,dryswab00142,crswab00130
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00171,crswab00159
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00172,crswab00160
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00173,crswab00161
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00174,crswab00162
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00175,crswab00163
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00176,crswab00164
pennsylvania,tuttle_pond,2022-09-09,capture,rana_catesbeiana,dryswab00177,crswab00165
